,Name,Total Bedroom,Total Bathroom,Apart Size,Max Capacity,Max Watt,Address,Swim Pool,Rating,Total Review,Furnish Type,Price
178,2 BR Apartment Green Pramuka City By Travelio,2,1,33 sqm,Max. 4 Tamu,2200 W,"Jalan Jenderal Ahmad Yani Kav. 49, RT.16/RW.9, Rawasari, Cempaka Putih, Jakarta Pusat, DKI Jakarta 10570, Indonesia",1,4.5,41,Full Furnished,"IDR
4,270,629
 / bulan"
179,1BR Queen Bed Apartment near Dufan at Ancol Marina By Travelio,1,1,54 sqm,Max. 2 Tamu,5500 W,"Jl. Lodan Raya No.2, RT.8/RW.11, Ancol, Pademangan, Kota Jakarta Utara, Daerah Khusus Ibukota Jakarta 14430",1,5,3,Full Furnished,"IDR
4,275,327
 / bulan"
180,Tidy 2BR with Modern Design Green Pramuka City Apartment By Travelio,2,1,33 sqm,Max. 3 Tamu,2200 W,"Jl. Jenderal Ahmad Yani Kav. 49, RT.16/RW.9, Rawasari, Cemp. Putih, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10570",1,5,2,Full Furnished,"IDR
4,283,379
 / bulan"
181,Cozy 2BR Green Pramuka with Great City View Apartment By Travelio,2,1,33 sqm,Max. 3 Tamu,2200 W,"Jl. Jenderal Ahmad Yani Kav. 49, RT.16/RW.9, Rawasari, Cemp. Putih, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10570",1,4.8,2,Full Furnished,"IDR
4,283,379
 / bulan"
182,Brand New Studio Room at Sedayu City Suites Apartment By Travelio,Studio,1,28 sqm,Max. 2 Tamu,1300 W,"Jl. Boulevard Sedayu Kelapa Gading, Kelapa Gading, Jakarta Utara, DKI Jakarta",1,New,-1,Full Furnished,"IDR
4,283,999
 / bulan"
183,Cozy 1BR Mediterania Boulevard Apartment By Travelio,1,1,31 sqm,Max. 2 Tamu,-1,"Jl. Landas Pacu Utara Selatan Blok A1 No. 2, Kebon Kosong, Kemayoran, Jakarta Pusat 10630",1,New,-1,Full Furnished,"IDR
4,284,000
 / bulan"
184,Comfort Green Pramuka 2BR Apartment By Travelio,2,1,34 sqm,Max. 3 Tamu,2200 W,"Jl. Jenderal Ahmad Yani Kav. 49, RT.16/RW.9, Rawasari, Cemp. Putih, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10570",1,New,-1,Full Furnished,"IDR
4,286,074
 / bulan"
185,Homey and Fresh 2BR Green Pramuka Apartment By Travelio,2,1,33 sqm,Max. 4 Tamu,2200 W,"Jl. Jenderal Ahmad Yani Kav. 49, RT.16/RW.9, Rawasari, Cemp. Putih, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10570",1,New,-1,Full Furnished,"IDR
4,289,754
 / bulan"
186,Fully Furnished Modern Minimalist 2BR @ Puri Park View Apartment By Travelio,2,1,35 sqm,Max. 3 Tamu,3500 W,"Jl. Pesanggrahan No.33 10, RT.10/RW.5, 5, Meruya Utara, Kembangan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11620",1,5,2,Full Furnished,"IDR
4,300,000
 / bulan"
187,Comfy and Minimalist Studio at Pakubuwono Terrace Apartment By Travelio,Studio,1,22 sqm,Max. 2 Tamu,2200 W,"Jl. Ciledug Raya No.99B, RT.12/RW.5, Cipulir, Kby. Lama, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12230",1,4.8,4,Full Furnished,"IDR
4,300,000
 / bulan"
188,Best and Sophisticated 2BR Puri Park View Apartment By Travelio,2,1,33 sqm,Max. 3 Tamu,2200 W,"Jl. Pesanggrahan No.33 10, RT.10/RW.5, 5, Meruya Utara, Kembangan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11620",1,New,-1,Full Furnished,"IDR
4,300,000
 / bulan"
189,Comfort Studio Apartment Woodland Park Residence By Travelio,Studio,1,27 sqm,Max. 2 Tamu,1300 W,"Jl. Raya Kalibata, RT.9/RW.4, Rawajati, Pancoran, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12750",1,New,-1,Full Furnished,"IDR
4,312,499
 / bulan"
190,Sea View 2BR Apartment at Green Bay Pluit By Travelio,2,1,37 sqm,Max. 3 Tamu,3500 W,"Jl. Pluit Karang Ayu Barat No.B1, RT.20/RW.2, Pluit, Penjaringan, Kota Jkt Utara, Daerah Khusus Ibukota Jakarta 14450",1,5,1,Full Furnished,"IDR
4,314,994
 / bulan"
191,1BR Queen Bed at Ancol Marina Apartment near Dufan By Travelio,1,1,54 sqm,Max. 2 Tamu,5500 W,"Jl. Lodan Raya No.2, RT.8/RW.11, Ancol, Pademangan, Kota Jakarta Utara, Daerah Khusus Ibukota Jakarta 14430",1,5,7,Full Furnished,"IDR
4,318,080
 / bulan"
192,Nice and Spacious 2BR Green Pramuka City Apartment By Travelio,2,1,34 sqm,Max. 3 Tamu,2200 W,"Jl. Jenderal Ahmad Yani Kav. 49, RT.16/RW.9, Rawasari, Cemp. Putih, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10570",1,New,-1,Full Furnished,"IDR
3,819,485
 / bulan"
193,Pool View 1BR Salemba Residence By Travelio,1,1,38 sqm,Max. 2 Tamu,2200 W,"Jl. Salemba Tengah II No.10, RT.5/RW.8, Paseban, Senen, Daerah Khusus Ibukota, Daerah Khusus Ibukota Jakarta 10440",1,5,1,Full Furnished,"IDR
4,324,999
 / bulan"
194,Best Location 2BR Green Pramuka Apartment By Travelio,2,1,36 sqm,Max. 4 Tamu,2200 W,"Jl. Jenderal Ahmad Yani Kav. 49, Rawasari, Cempaka Putih, RT.16/RW.9, RT.16/RW.9, Rawasari, Cemp. Putih, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10570",1,4.5,10,Full Furnished,"IDR
4,342,328
 / bulan"
195,2BR Centro City Residences Daan Mogot By Travelio,2,1,40 sqm,Max. 4 Tamu,-1,"Jl. Macan Daan Mogot RT 10/ RW 1, Kedoya Utara, Kebon Jeruk, Jakarta Barat 11510",-1,4.1,7,Full Furnished,"IDR
4,345,199
 / bulan"
196,Cozy Studio with City View Signature Park Grande Apartment By Travelio,Studio,1,25 sqm,Max. 2 Tamu,1300 W,"Jl. Letjen M.T. Haryono No.20, RT.4/RW.1, Cawang, Kramatjati, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13630",1,4.2,1,Full Furnished,"IDR
4,355,624
 / bulan"
197,Relaxing Studio Signature Park Apartment By Travelio,Studio,1,19 sqm,Max. 2 Tamu,2200 W,"Jl. Letjen M.T. Haryono No.23, RT.10/RW.9, Tebet Tim., Tebet, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12820",1,5,4,Full Furnished,"IDR
4,362,499
 / bulan"
198,Chic and Cozy Studio Apartment at Menteng Square By Travelio,Studio,1,27 sqm,Max. 2 Tamu,1300 W,"Jl. Pramuka Sari II No.28, RT.5/RW.6, Kenari, Senen, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10320",1,New,-1,Full Furnished,"IDR
4,362,499
 / bulan"
199,Alluring 2BR at Bassura City Apartment near Mall By Travelio,2,1,28 sqm,Max. 3 Tamu,2200 W,"Jl. Basuki Rahmat No.1A, RT.8/RW.10, Cipinang Besar Sel., Jatinegara, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13410",1,New,-1,Full Furnished,"IDR
3,867,906
 / bulan"
200,Comfort Studio Cervino Village Apartment near Casablanca By Travelio,Studio,1,28 sqm,Max. 2 Tamu,1300 W,"Jl. KH. Abdullah Syafei Kav. 27, RT.17/RW.1, Tebet Barat, Tebet, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12810",1,5,2,Full Furnished,"IDR
4,368,249
 / bulan"
201,Fully Furnished 2BR at Teluk Intan Apartment By Travelio,2,1,39 sqm,Max. 3 Tamu,1300 W,"Jl. Moa Perkav Teluk Gong Blok B11 B10, Pejagalan, Penjaringan, Kota Jkt Utara, Daerah Khusus Ibukota Jakarta 14450",1,5,6,Full Furnished,"IDR
4,375,934
 / bulan"
202,Cozy 2BR Mediterania Palace Kemayoran near to Jiexpo Kemayoran By Travelio,2,1,33 sqm,Max. 4 Tamu,2200 W,"Jl. Landas Pacu Selatan Blok A1 No.2, Kemayoran, Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10630",1,4.3,5,Full Furnished,"IDR
4,385,999
 / bulan"
203,Comfortable Signature Park Tebet Studio Apartment By Travelio,Studio,1,19 sqm,Max. 2 Tamu,2200 W,"Jl. Letjen M.T. Haryono No.23, RT.10/RW.9, Tebet Tim., Tebet, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12820",1,5,10,Full Furnished,"IDR
4,392,204
 / bulan"
204,Comfy Studio Woodland Park Residence Apartment By Travelio,Studio,1,30 sqm,Max. 2 Tamu,1300 W,"Jl. Raya Kalibata, RT.9/RW.4, Rawajati, Pancoran, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12750",1,4.8,7,Full Furnished,"IDR
4,396,994
 / bulan"
205,Good and Minimalist 2BR for 4Pax at Bintaro Park View Apartment By Travelio,2,1,38 sqm,Max. 4 Tamu,1300 W,"Jl. Bintaro Permai No.35-36, Pesanggrahan, Rt.5/Rw.3, Pesanggrahan, Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12320",1,New,-1,Full Furnished,"IDR
4,399,999
 / bulan"
206,Minimalist and Enjoy 2BR at Bassura Apartment near Bassura Mall By Travelio,2,1,34 sqm,Max. 4 Tamu,2200 W,"Jl. Basuki Rahmat No.1A, RT.8/RW.10, Cipinang Besar Sel., Jatinegara, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13410",1,New,-1,Full Furnished,"IDR
4,400,000
 / bulan"
207,Spacious Studio Room Menteng Square Apartment By Travelio,Studio,1,27 sqm,Max. 2 Guest(s),1300 W,"Jl. Pramuka Sari II No.28, RT.5/RW.6, Kenari, Senen, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10320",1,5,1,Full Furnished,"IDR
4,404,032
 / bulan"
208,Compact Studio Signature Park Grande Apartment MT. Haryono By Travelio,Studio,1,30 sqm,Max. 2 Tamu,1300 W,"Jl. Letjen M.T. Haryono No.20, RT.4/RW.1, Cawang, Kramatjati, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13630",1,4.9,4,Full Furnished,"IDR
3,424,160
 / bulan"
209,Cozy and Simply 1BR Green Central City Apartment By Travelio,1,1,41 sqm,Max. 2 Tamu,2200 W,"Jl. Gajah Mada No.188, RT.3/RW.5, Glodok, Kec. Taman Sari, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11120",1,New,-1,Full Furnished,"IDR
4,433,268
 / bulan"
210,Comfortable 2 Bedrooms @ Titanium Square Apartment By Travelio,2,1,37 sqm,Max. 3 Tamu,-1,Jl. Buah No.4 Pekayon Ps. Rebo Kota Jakarta Timur Daerah Khusus Ibukota Jakarta 13710,1,4.9,3,Full Furnished,"IDR
4,443,374
 / bulan"
211,Comfortable Studio near Salemba Area at Capitol Park Apartment By Travelio,Studio,1,23 sqm,Max. 2 Tamu,2200 W,"Jl. Salemba Raya No.16, RT.3/RW.6, Kenari, Senen, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10430",1,5,5,Full Furnished,"IDR
4,444,382
 / bulan"
212,Comfy 1BR at Green Central City Apartment near Glodok By Travelio,1,1,42 sqm,Max. 2 Tamu,2200 W,"Jl. Gajah Mada No.188, RT.3/RW.5, Glodok, Kec. Taman Sari, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11120",1,New,-1,Full Furnished,"IDR
4,445,231
 / bulan"
213,Homey and Warm 2BR Mediterania Palace Apartment By Travelio,2,1,36 sqm,Max. 4 Tamu,2200 W,"Jl. Landas Pacu Selatan Blok A1 No.2, Kemayoran, Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10630",1,4.6,5,Full Furnished,"IDR
4,314,389
 / bulan"
214,Minimalist & Comfy 2BR @ Titanium Square Apartment By Travelio,2,1,37 sqm,Max. 3 Tamu,-1,"Jl. Buah No.4, RT.6/RW.4, Pekayon, Ps. Rebo, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13710",1,4.8,7,Full Furnished,"IDR
4,481,624
 / bulan"
215,2BR Mediterania Palace Kemayoran Apartment By Travelio,2,1,36 sqm,Max. 4 Tamu,2200 W,"Jl. Landas Pacu Selatan Blok A1 No.2, Kemayoran, Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10630",1,4.9,7,Full Furnished,"IDR
4,483,091
 / bulan"
216,Simple Studio Bassura City Apartment By Travelio,Studio,1,19 sqm,Max. 2 Tamu,900 W,"Jl. Basuki Rahmat No.1A, RT.8/RW.10, Cipinang Besar Sel., Jatinegara, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13410",1,4.9,6,Full Furnished,"IDR
4,488,158
 / bulan"
217,Prime Location Studio Apartment at Elpis Residence near Ancol By Travelio,Studio,1,23 sqm,Max. 2 Tamu,1300 W,"Jalan Gunung Sahari XII No. 12, RT.17/RW.3, RT.18/RW.3, Gn. Sahari Utara, Sawah Besar, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10720",1,4.5,5,Full Furnished,"IDR
4,493,749
 / bulan"
218,Comfortable 2BR @ The Oak Tower Apartment By Travelio,2,1,43 sqm,Max. 3 Tamu,-1,"Jl. Perintis Kemerdekaan Kav. 99, Pulo Gadung, RT.3/RW.2, Pulo Gadung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13260",1,4.7,1,Full Furnished,"IDR
4,495,000
 / bulan"
219,Clean and Cozy 2BR at Green Bay Apartment By Travelio,2,1,35 sqm,Max. 4 Tamu,3500 W,"Jl. Pluit Karang Ayu Barat No.B1, RT.20/RW.2, Pluit, Penjaringan, Kota Jkt Utara, Daerah Khusus Ibukota Jakarta 14450",1,4.8,4,Full Furnished,"IDR
4,499,999
 / bulan"
220,Stylish and Convenient 2BR Green Bay Pluit Apartment By Travelio,2,1,36 sqm,Max. 3 Tamu,3500 W,"Jl. Pluit Karang Ayu Barat No.B1, RT.20/RW.2, Pluit, Penjaringan, Kota Jkt Utara, Daerah Khusus Ibukota Jakarta 14450",1,New,-1,Full Furnished,"IDR
4,499,999
 / bulan"
221,Comfortable and Tidy 2BR Apartment at Green Pramuka City for 4 Pax By Travelio,2,1,33 sqm,Max. 4 Tamu,2200 W,"Jl. Jenderal Ahmad Yani Kav. 49, RT.16/RW.9, Rawasari, Cemp. Putih, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10570",1,New,-1,Full Furnished,"IDR
4,499,999
 / bulan"
222,Elegant and Comfy 1BR Green Central City Apartment By Travelio,1,1,49 sqm,Max. 2 Tamu,2200 W,"Jalan Gajah Mada No.188 , 5, Jakarta Barat, Daerah Khusus Ibukota Jakarta 11120",1,5,5,Full Furnished,"IDR
4,499,999
 / bulan"
223,Fully Furnished Apartment with Comfortable Design 2BR Vittoria Residence By Travelio,2,1,43 sqm,Max. 3 Tamu,3500 W,"Jl. Daan Mogot, RT.9/RW.3, Cengkareng Tim., Cengkareng, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11730",1,4.9,6,Full Furnished,"IDR
4,499,999
 / bulan"
224,Studio Room at Way Seputih Residence near Taman Anggrek By Travelio,Studio,1,15 sqm,Max. 2 Tamu,1300 W,"Jl. Way Seputih V No.2, RT.11/RW.1, Tj. Duren Sel., Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11470",-1,5,36,Full Furnished,"IDR
2,300,000
 / bulan"
225,Beautiful 2BR with Direct Access to Pool Green Bay Apartment By Travelio,2,1,42 sqm,Max. 3 Tamu,2200 W,"Jl. Pluit Karang Ayu Barat No.B1, RT.20/RW.2, Pluit, Penjaringan, Kota Jkt Utara, Daerah Khusus Ibukota Jakarta 14450",1,4.7,4,Full Furnished,"IDR
4,500,000
 / bulan"
226,Homey and Warm 2BR Green Pramuka Apartment By Travelio,2,1,33 sqm,Max. 3 Tamu,2200 W,"Jl. Jenderal Ahmad Yani Kav. 49, RT.16/RW.9, Rawasari, Cemp. Putih, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10570",1,4.8,19,Full Furnished,"IDR
4,500,000
 / bulan"
227,Functional Studio at Pancoran Riverside Apartment By Travelio,Studio,1,36 sqm,Max. 2 Tamu,2200 W,"Jalan Pengadegan Timur I No. 30, RT.06 / RW.01, Pengadegan, Pancoran, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12770",1,4.8,8,Full Furnished,"IDR
4,500,000
 / bulan"
228,Cozy and Relax 2BR Apartment at Greenlake Sunter By Travelio,2,1,35 sqm,Max. 4 Tamu,3500 W,"Jl. Danau Sunter Selatan, RT.15/RW.16, Sunter Agung, Tj. Priok, Kota Jkt Utara, Daerah Khusus Ibukota Jakarta 14350",1,5,1,Full Furnished,"IDR
4,500,000
 / bulan"
229,Comfortable 2BR Apartment at Mediterania Palace Residence By Travelio,2,1,33 sqm,Max. 3 Tamu,2200 W,"Jl. Landas Pacu Selatan Blok A1 No.2, Kemayoran, Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10630",1,5,6,Full Furnished,"IDR
4,500,000
 / bulan"
230,Cozy Living Green Pramuka City 2BR Apartment near Shopping Mall By Travelio,2,1,33 sqm,Max. 3 Guest(s),2200 W,"Jl. Jenderal Ahmad Yani Kav. 49, RT.16/RW.9, Rawasari, Cemp. Putih, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10570",1,5,1,Full Furnished,"IDR
4,500,000
 / bulan"
231,Cozy and Stylish 1BR The Mansion Kemayoran Apartment near JIEXPO By Travelio,1,1,33 sqm,Max. 2 Tamu,5500 W,"Jl. Trembesi Blok. D4, Bandar Baru Kemayoran,Pademangan Tim., Pademangan, Kota Jkt Utara, Daerah Khusus Ibukota Jakarta 14410",1,New,-1,Full Furnished,"IDR
4,500,749
 / bulan"
232,Golf View 1BR at The Mansion near JIEXPO Kemayoran By Travelio,1,1,33 sqm,Max. 2 Tamu,5500 W,"Jl. Trembesi Blok. D4, Bandar Baru Kemayoran,Pademangan Tim., Pademangan, Kota Jkt Utara, Daerah Khusus Ibukota Jakarta 14410",1,5,1,Full Furnished,"IDR
4,500,749
 / bulan"
233,Modern and Comfort Stay @ Studio Pakubuwono Terrace Apartment By Travelio,Studio,1,30 sqm,Max. 2 Tamu,1300 W,"Jl. Ciledug Raya No.99B, RT.12/RW.5, Cipulir, Kby. Lama, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12230",1,5,1,Full Furnished,"IDR
4,514,658
 / bulan"
234,New Furnished @ Studio Maple Park Apartment By Travelio,Studio,1,19 sqm,Max. 2 Tamu,1200 W,"Jalan HBR Motik No.2, RT.18/RW.5, Sunter Agung, Kota Jkt Utara, 14350",1,4.8,1,Full Furnished,"IDR
2,384,249
 / bulan"
235,New Furnished Studio Apartment @ Woodland Park Residence By Travelio,Studio,1,33 sqm,Max. 2 Tamu,1300 W,"Jl. Raya Kalibata, RT.9/RW.4, Rawajati, Pancoran, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12750",1,5,2,Full Furnished,"IDR
4,536,545
 / bulan"
236,Modern and Relax 2BR @ Bassura City Apartment By Travelio,2,1,30 sqm,Max. 4 Tamu,2200 W,"Jl. Basuki Rahmat No.1A, RT.8/RW.10, Cipinang Besar Sel., Jatinegara, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13410",1,4.9,9,Full Furnished,"IDR
4,545,610
 / bulan"
237,Brand New and Homey Clean Studio at Ciputra International Apartment By Travelio,Studio,1,27 sqm,Max. 2 Tamu,1300 W,"Jl. Lkr. Luar Barat No.101, Kembangan Utara, Kembangan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11740",1,New,-1,Full Furnished,"IDR
4,049,999
 / bulan"
238,Pool View Studio Apartment Tamansari Sudirman By Travelio,Studio,1,23 sqm,Max. 2 Tamu,-1,"Jl. Bek Murad No.42, RT.9/RW.1, Karet, Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12940",1,5,2,Full Furnished,"IDR
4,557,411
 / bulan"
239,Spacious Studio Room at Green Pramuka Apartment By Travelio,Studio,1,34 sqm,Max. 2 Tamu,900 W,"Jl. Jenderal Ahmad Yani Kav. 49, Rawasari, Cempaka Putih, RT.16/RW.9, RT.16/RW.9, Rawasari, Cemp. Putih, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10570",1,4.9,8,Full Furnished,"IDR
4,600,000
 / bulan"
240,Comfortable and Nice Studio Room Apartement at H Residence By Travelio,Studio,1,37 sqm,Max. 2 Tamu,2200 W,"Jl. MT Haryono No.7, RT.12/RW.11, Cipinang Cempedak, Jatinegara, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13340",1,New,-1,Full Furnished,"IDR
4,600,000
 / bulan"
241,Strategic Place with Cozy Place Apartment @ Studio Signature Park Tebet By Travelio,Studio,1,24 sqm,Max. 2 Tamu,2200 W,"Jl. Letjen M.T. Haryono No.23, RT.10/RW.9, Tebet Tim., Tebet, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12820",1,5,5,Full Furnished,"IDR
4,610,576
 / bulan"
242,Cozy 2 BR Bassura City Apartment By Travelio,2,1,34 sqm,Max. 3 Tamu,2200 W,"Jl. Basuki Rahmat No.1A, RT.8/RW.10, Cipinang Besar Sel., Jatinegara, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13410",1,4.7,4,Full Furnished,"IDR
4,617,351
 / bulan"
243,Cozy Living 2BR Apartment at Bassura City near Mall By Travelio,2,1,34 sqm,Max. 3 Tamu,2200 W,"Jl. Basuki Rahmat No.1A, RT.8/RW.10, Cipinang Besar Sel., Jatinegara, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13410",1,5,4,Full Furnished,"IDR
4,624,536
 / bulan"
244,Best View Studio Apartment @ Ciputra International By Travelio,Studio,1,26 sqm,Max. 2 Tamu,-1,"Jl. Lkr. Luar Barat No.101, Kembangan Utara, Kembangan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11740",1,New,-1,Full Furnished,"IDR
4,626,329
 / bulan"
245,Highest Value Studio Apartment at H Residence By Travelio,Studio,1,37 sqm,Max. 2 Tamu,1300 W,"Jl. MT Haryono No.7, RT.12/RW.11, Cipinang Cempedak, Jatinegara, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13340",1,4.8,10,Full Furnished,"IDR
4,479,999
 / bulan"
246,Spacious Fully Furnished Studio Apartment H Residence near MT Haryono By Travelio,Studio,1,37 sqm,Max. 2 Guest(s),1300 W,"Jl. MT Haryono Kav.6-7, Cipinang Cempedak, Jatinegara, RT.12/RW.11, Cipinang Cempedak, Jatinegara, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 12770",1,4.8,3,Full Furnished,"IDR
4,639,999
 / bulan"
247,Comfy Studio Ciputra International Apartment By Travelio,Studio,1,26 sqm,Max. 2 Tamu,-1,"Jl. Lkr. Luar Barat No.101, Kembangan Utara, Kembangan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11740",1,4.8,5,Full Furnished,"IDR
4,646,634
 / bulan"
248,Beautifully Designed 2BR Bassura City Apartment By Travelio,2,1,34 sqm,Max. 3 Tamu,2200 W,"Jl. Basuki Rahmat No.1A, RT.8/RW.10, Cipinang Besar Sel., Jatinegara, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13410",1,5,4,Full Furnished,"IDR
4,654,851
 / bulan"
249,Relaxing Studio Apartment at H Residence By Travelio,Studio,1,37 sqm,Max. 2 Tamu,1300 W,"Jl. MT Haryono No.7, RT.12/RW.11, Cipinang Cempedak, Jatinegara, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13340",1,4.9,6,Full Furnished,"IDR
4,659,999
 / bulan"
250,Simply Living 2BR at Bassura City Apartment By Travelio,2,1,34 sqm,Max. 3 Tamu,2200 W,"Jl. Basuki Rahmat No.1A, RT.8/RW.10, Cipinang Besar Sel., Jatinegara, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13410",1,4.9,12,Full Furnished,"IDR
4,663,525
 / bulan"
251,Well Furnished 2BR Bassura City Apartment By Travelio,2,1,34 sqm,Max. 3 Tamu,2200 W,"Jl. Basuki Rahmat No.1A, RT.8/RW.10, Cipinang Besar Sel., Jatinegara, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13410",1,5,8,Full Furnished,"IDR
4,663,525
 / bulan"
252,Relaxing 2BR Bassura City Apartment By Travelio,2,1,34 sqm,Max. 3 Tamu,2200 W,"Jl. Basuki Rahmat No.1A, RT.8/RW.10, Cipinang Besar Sel., Jatinegara, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13410",1,4.9,5,Full Furnished,"IDR
4,663,525
 / bulan"
253,Comfortable Design Studio Apartment Ciputra International By Travelio,Studio,1,25 sqm,Max. 2 Tamu,1300 W,"Jl. Lkr. Luar Barat No.101, Kembangan Utara, Kembangan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11740",1,New,-1,Full Furnished,"IDR
4,666,499
 / bulan"
254,Best Price Spacious Studio Apartment @ The H Residence near MT Haryono By Travelio,Studio,1,37 sqm,Max. 2 Tamu,1300 W,"Jl. MT Haryono Kav.6-7, Cipinang Cempedak, Jatinegara, RT.12/RW.11, Cipinang Cempedak, Jatinegara, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 12770",1,4.7,10,Full Furnished,"IDR
4,676,299
 / bulan"
255,Comfy and Furnished 2BR Bassura City Apartment near Mall By Travelio,2,1,34 sqm,Max. 3 Tamu,2200 W,"Jl. Basuki Rahmat No.1A, RT.8/RW.10, Cipinang Besar Sel., Jatinegara, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13410",1,5,3,Full Furnished,"IDR
4,688,775
 / bulan"
256,Cozy & Affordable 2BR Bassura City Apartment by Travelio,2,1,34 sqm,Max. 3 Tamu,2200 W,"Jl. Basuki Rahmat No.1A, RT.8/RW.10, Cipinang Besar Sel., Jatinegara, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13410",1,4.6,3,Full Furnished,"IDR
4,691,527
 / bulan"
257,Cozy Studio Apartment with City View at Tamansari Sudirman By Travelio,Studio,1,23 sqm,Max. 2 Tamu,1300 W,"Jl. Bek Murad No.42, RT.9/RW.1, Karet, Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12940",1,New,-1,Full Furnished,"IDR
4,195,891
 / bulan"
258,Fully Furnished with Comfortable Design Studio Apartment H Residence By Travelio,Studio,1,37 sqm,Max. 2 Tamu,1300 W,"Jl. MT Haryono No.7, RT.12/RW.11, Cipinang Cempedak, Jatinegara, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13340",1,5,2,Full Furnished,"IDR
4,696,499
 / bulan"
259,2BR Modern Room Bassura Apartment With Direct Access To Shopping Center By Travelio,2,1,36 sqm,Max. 3 Tamu,2200 W,"RT.8/RW.10, South Cipinang Besar, Jatinegara, East Jakarta City, Jakarta",1,4.7,9,Full Furnished,"IDR
4,700,000
 / bulan"
260,Comfy 1BR Sedayu City Suites Apartment By Travelio,1,1,37 sqm,Max. 2 Tamu,3500 W,"Jl. Boulevard Sedayu Kelapa Gading, Kelapa Gading, Jakarta Utara, DKI Jakarta",1,New,-1,Full Furnished,"IDR
4,204,749
 / bulan"
